,MARUTI,M&M,TATAMOTORS,BAJAJ-AUTO,EICHERMOT,HDFCBANK,ICICIBANK,SBIN,KOTAKBANK,AXISBANK,JSWSTEEL,RELIANCE,ONGC,NTPC,POWERGRID,BAJFINANCE,ADANIENT,SBILIFE,HINDUNILVR,ITC,BRITANNIA,SUNPHARMA,DIVISLAB,TCS,INFY,HCLTECH,WIPRO,ULTRACEMCO,COALINDIA,BAJAJFINSV,CIPLA,GRASIM,HEROMOTOCO,HINDALCO,INDUSINDBK,LT,TECHM,UPL,ASIANPAINT,BPCL,HDFCLIFE,TATACONSUM
ITC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
BRITANNIA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
SUNPHARMA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
DIVISLAB,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
TCS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
INFY,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
HCLTECH,0.0,0.7948661623069224,0.0,0.0,0.0,0.0,0,0,0,0.0,0.8088176185050018,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,0.7559573317837396,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
WIPRO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0,0.0,0.0,0.8199440241641184,0.0,0.0,0.0,0.0,0.8026637383815226,0.0,0,0,0,0
ULTRACEMCO,0.7583940181234605,0.0,0.905472837406696,0.0,0.0,0.0,0,0,0,0.0,0.7676721146849224,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7559573317837396,0.0,0.0,1,0.0,0.0,0.0,0.8121277034584274,0.9432581158335264,0.8589711308753437,0.0,0.0,0.0,0,0,0,0
COALINDIA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
BAJAJFINSV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7343273563563939,0.0,0,0,0,0
CIPLA,0.0,0.0,0.723921290260696,0.0,0.0,0.9300004398714344,0,0,0,0.802091873202656,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8196772889701268,0.0,0.0,0,0,0,0
GRASIM,0.7681004966417471,0.0,0.7439266739858892,0.0,0.0,0.0,0,0,0,0.714216654689568,0.7161637894830781,0,0,0.0,0.7507649257152293,0,0,0,0,0,0,0,0,0,0,0.0,0.8199440241641184,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7002102801977838,0.8429271922151585,0.7996472678411357,0,0,0,0
HEROMOTOCO,0.7949545934698382,1.0,1.0,1.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8121277034584274,0,0.0,0.0,0.0,0.0,0.7855654194341085,0.7336116307264228,0.0,0.0,0.0,0,0,0,0
HINDALCO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.7303743519077056,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9432581158335264,1,0.0,0.0,0.0,0.7855654194341085,0.0,0.8256357753053892,0.0,0.0,0.0,0,0,0,0
INDUSINDBK,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8589711308753437,0,0.0,0.0,0.0,0.7336116307264228,0.8256357753053892,0.0,0.0,0.0,0.7160051843590878,0,0,0,0
LT,0.0,0.0,0.8221126877827737,0.0,0.0,0.904337776919494,0,0,0,0.943644082226414,0.0,0,0,0.8531377073033932,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.8196772889701268,0.7002102801977838,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
TECHM,0.0,0.0,0.0,0.0,0.0,0.7616160585296182,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1.0,0.8026637383815226,0.0,0,0.7343273563563939,0.0,0.8429271922151585,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
UPL,0.0,0.0,0.0,0.7785811629024808,0.0,0.8068169302979163,0,0,0,0.7353263620945337,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.7996472678411357,0.0,0.0,0.7160051843590878,0.0,0.0,0.0,0,0,0,0
ASIANPAINT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
BPCL,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
HDFCLIFE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
TATACONSUM,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
